. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #61	4   	-57668.98558	Yes        	4        	1.050    	0.200    	 0.30620   0.19224   0.18173   0.31982	-0.81917   0.11631   0.55204   0.15083  
      	     	          	           	          	           	             	                                      	 0.18525  -1.30170   0.22108   0.89537  
      	     	          	           	          	           	             	                                      	 0.93016   0.23387  -1.35408   0.19005  
      	     	          	           	          	           	             	                                      	 0.14440   0.53820   0.10799  -0.79059  
  #62	4   	-57351.98627	Yes        	4        	1.671    	0.203    	 0.30387   0.18714   0.18725   0.32174	-0.82784   0.12231   0.57273   0.13280  
      	     	          	           	          	           	             	                                      	 0.19859  -1.30724   0.19815   0.91050  
      	     	          	           	          	           	             	                                      	 0.92941   0.19804  -1.34626   0.21881  
      	     	          	           	          	           	             	                                      	 0.12542   0.52960   0.12735  -0.78237  
  #63	4   	-57781.62152	Yes        	4        	0.688    	0.197    	 0.30647   0.19086   0.18176   0.32091	-0.82697   0.10035   0.59798   0.12863  
      	     	          	           	          	           	             	                                      	 0.16114  -1.26484   0.19253   0.91116  
      	     	          	           	          	           	             	                                      	 1.00830   0.20217  -1.40804   0.19756  
      	     	          	           	          	           	             	                                      	 0.12284   0.54190   0.11189  -0.77663  
  #64	4   	-57567.60370	Yes        	4        	1.654    	0.203    	 0.30489   0.18914   0.18563   0.32034	-0.84261   0.10086   0.60412   0.13763  
      	     	          	           	          	           	             	                                      	 0.16259  -1.24495   0.17155   0.91081  
      	     	          	           	          	           	             	                                      	 0.99225   0.17480  -1.37379   0.20674  
      	     	          	           	          	           	             	                                      	 0.13099   0.53778   0.11980  -0.78857  
