. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.10609   0.49850   0.12945  -0.73403  
  #57	4   	-14144.43648	Yes        	4        	0.545    	0.193    	 0.33695   0.17224   0.15502   0.33580	-0.71818   0.17884   0.44479   0.09455  
      	     	          	           	          	           	             	                                      	 0.34987  -1.61559   0.15885   1.10687  
      	     	          	           	          	           	             	                                      	 0.96679   0.17649  -1.40137   0.25810  
      	     	          	           	          	           	             	                                      	 0.09487   0.56773   0.11915  -0.78175  
  #58	4   	-14197.67087	Yes        	4        	0.423    	0.210    	 0.33846   0.17023   0.15847   0.33285	-0.76495   0.23182   0.39878   0.13434  
      	     	          	           	          	           	             	                                      	 0.46093  -1.57004   0.20885   0.90025  
      	     	          	           	          	           	             	                                      	 0.85175   0.22436  -1.40610   0.33000  
      	     	          	           	          	           	             	                                      	 0.13661   0.46042   0.15711  -0.75414  
  #59	4   	-14247.39806	Yes        	4        	1.453    	0.202    	 0.33401   0.17804   0.15951   0.32844	-0.72395   0.16471   0.46070   0.09855  
      	     	          	           	          	           	             	                                      	 0.30899  -1.48860   0.16432   1.01529  
      	     	          	           	          	           	             	                                      	 0.96469   0.18341  -1.45014   0.30203  
      	     	          	           	          	           	             	                                      	 0.10022   0.55036   0.14668  -0.79726  
  #60	4   	-14577.45916	Yes        	4        	0.367    	0.211    	 0.33645   0.17934   0.16453   0.31969	-0.70825   0.18571   0.42029   0.10225  
      	     	          	           	          	           	             	                                      	 0.34839  -1.55442   0.23209   0.97395  
      	     	          	           	          	           	             	                                      	 0.85944   0.25297  -1.38851   0.27610  
      	     	          	           	          	           	             	                                      	 0.10761   0.54636   0.14210  -0.79607  
  #61	4   	-14143.30840	Yes        	4        	0.515    	0.192    	 0.34313   0.16734   0.15660   0.33294	-0.70223   0.18071   0.43962   0.08190  
